level,monster_count,blue_hit_probability,red_hit_probability,blue_damage_per_round,blue_living_count,blue_rounds_to_live,blue_survival_percent,rounds,red_damage_per_round,red_living_count,red_rounds_to_live,red_survival_percent
1,1,0.5,0.7,14,0,3.5,0.0,4.75,21,1,4.0,0.0
1,2,0.7,0.6,19,3,4.0,0.5495495495495496,3.25,19,0,3.0,0.0
1,4,0.7,0.7,19,3,3.0,0.5405405405405406,3.5,25,0,3.0,0.0
1,8,0.7,0.6,23,0,2.5,0.0,5.25,36,3,4.5,0.3125
2,1,0.5,0.6,16,3,4.0,0.3709677419354839,4.0,19,0,4.0,0.0
2,2,0.7,0.4,21,3,4.0,0.5967741935483871,3.25,19,0,3.0,0.0
2,4,0.7,0.6,21,3,3.5,0.5967741935483871,3.5,23,0,3.0,0.0
2,8,0.7,0.6,28,2,2.5,0.3709677419354839,4.25,34,0,3.5,0.0
3,1,0.4,0.7,14,0,3.5,0.0,5.0,25,1,4.75,0.15151515151515152
3,2,0.7,0.4,23,3,4.0,0.5555555555555556,3.5,22,0,3.25,0.0
3,4,0.6,0.7,20,3,3.0,0.45185185185185184,4.0,29,0,3.0,0.0
3,8,0.7,0.6,31,3,2.5,0.37777777777777777,4.25,37,0,3.25,0.0
4,1,0.6,0.4,22,3,5.0,0.3515981735159817,4.25,31,0,4.0,0.0
4,2,0.6,0.5,30,4,5.25,0.6894977168949772,3.0,27,0,2.75,0.0
4,4,0.6,0.4,30,4,4.25,0.6757990867579908,3.0,35,0,2.75,0.0
4,8,0.4,0.5,42,4,4.0,0.6894977168949772,3.0,37,0,2.75,0.0
5,1,0.4,0.5,15,0,5.0,0.0,6.5,37,1,6.25,0.13978494623655913
5,2,0.7,0.5,25,3,5.5,0.5983935742971888,4.0,31,0,3.75,0.0
5,4,0.7,0.5,25,3,4.25,0.5983935742971888,4.0,42,0,3.5,0.0
5,8,0.7,0.5,35,3,4.25,0.5502008032128514,5.0,40,0,3.5,0.0
6,1,0.5,0.6,19,2,5.5,0.12222222222222222,6.25,34,0,5.5,0.0
6,2,0.5,0.5,27,3,5.5,0.6407407407407407,3.75,32,0,3.5,0.0
6,4,0.6,0.4,32,3,4.5,0.6333333333333333,4.0,40,0,3.5,0.0
6,8,0.7,0.5,38,3,4.25,0.5703703703703704,5.0,42,0,3.25,0.0
7,1,0.5,0.7,19,0,5.75,0.0,7.25,50,1,6.75,0.1349206349206349
7,2,0.4,0.5,33,3,5.75,0.5573770491803278,4.5,46,0,4.0,0.0
7,4,0.4,0.6,33,3,4.75,0.546448087431694,5.0,57,0,3.75,0.0
7,8,0.6,0.5,46,3,4.0,0.5573770491803278,5.0,59,0,3.75,0.0
8,1,0.5,0.6,20,0,6.75,0.0,8.25,44,1,7.0,0.050724637681159424
8,2,0.3,0.5,29,3,6.25,0.5856777493606138,5.0,43,0,4.5,0.0
8,4,0.4,0.5,35,3,5.25,0.5882352941176471,4.75,53,0,3.75,0.0
8,8,0.6,0.5,50,3,4.25,0.59846547314578,5.0,58,0,3.75,0.0
9,1,0.4,0.6,19,0,6.5,0.0,8.5,53,1,8.0,0.18666666666666668
9,2,0.3,0.5,33,3,6.25,0.49882903981264637,5.25,51,0,4.75,0.0
9,4,0.3,0.6,33,3,5.0,0.41451990632318503,5.5,67,0,4.0,0.0
9,8,0.6,0.5,56,3,4.25,0.5433255269320844,5.0,68,0,4.0,0.0
10,1,0.4,0.6,29,1,7.5,0.11775700934579439,8.25,53,0,7.25,0.0
10,2,0.4,0.5,44,3,6.5,0.5887850467289719,4.75,60,0,4.25,0.0
10,4,0.5,0.6,52,3,5.5,0.6037383177570094,4.5,71,0,3.75,0.0
10,8,0.7,0.4,72,3,4.5,0.594392523364486,5.0,81,0,3.75,0.0
11,1,0.4,0.7,20,0,7.0,0.0,9.0,61,1,11.0,0.33771929824561403
11,2,0.3,0.5,37,3,6.75,0.43154246100519933,6.25,63,0,5.25,0.0
11,4,0.4,0.7,46,3,5.5,0.5389948006932409,5.5,78,0,4.5,0.0
11,8,0.6,0.4,65,3,4.5,0.5597920277296361,5.0,89,0,4.25,0.0
12,1,0.5,0.6,27,0,7.5,0.0,9.5,62,1,9.0,0.1910569105691057
12,2,0.3,0.5,41,3,7.25,0.5614886731391586,5.5,63,0,4.75,0.0
12,4,0.5,0.6,60,3,5.75,0.5922330097087378,5.0,79,0,4.25,0.0
12,8,0.6,0.5,71,3,4.5,0.5889967637540453,5.0,96,0,4.0,0.0
13,1,0.5,0.7,37,0,8.5,0.0,10.25,81,1,8.75,0.11320754716981132
13,2,0.8,0.5,55,3,8.0,0.5324074074074074,6.25,80,0,5.5,0.0
13,4,0.9,0.7,63,3,6.25,0.5659722222222222,6.0,106,0,5.0,0.0
13,8,0.5,0.5,85,3,5.0,0.4479166666666667,6.25,119,0,4.75,0.0
14,1,0.6,0.6,40,1,9.75,0.14144736842105263,10.0,71,0,8.5,0.0
14,2,0.8,0.5,53,3,8.75,0.5614035087719298,6.75,75,0,5.75,0.0
14,4,0.4,0.6,68,3,7.0,0.606359649122807,5.75,97,0,4.75,0.0
14,8,0.6,0.5,94,3,5.5,0.5635964912280702,6.0,114,0,4.75,0.0
15,1,0.5,0.7,36,0,9.0,0.0,11.0,86,1,10.0,0.20218579234972678
15,2,0.8,0.5,56,3,8.25,0.4484167517875383,7.25,88,0,6.5,0.0
15,4,0.9,0.7,61,3,6.75,0.5056179775280899,6.75,111,0,5.25,0.0
15,8,0.6,0.5,98,3,5.25,0.40858018386108275,7.25,134,0,5.25,0.0
16,1,0.7,0.7,52,0,9.25,0.0,11.0,114,1,8.75,0.09333333333333334
16,2,0.3,0.5,65,3,9.0,0.44435612082670906,7.5,107,0,6.0,0.0
16,4,0.5,0.7,93,3,7.0,0.5802861685214626,6.0,144,0,4.75,0.0
16,8,0.7,0.5,125,3,5.75,0.5023847376788553,7.0,163,0,5.0,0.0
17,1,0.6,0.8,45,0,9.25,0.0,10.75,131,1,10.75,0.28541666666666665
17,2,0.8,0.5,57,2,9.25,0.27645305514157975,9.75,113,0,7.5,0.0
17,4,0.4,0.8,78,3,7.25,0.4262295081967213,7.75,156,0,6.0,0.0
17,8,0.6,0.5,109,2,5.75,0.36959761549925485,8.25,166,0,6.25,0.0
18,1,0.7,0.7,54,0,9.5,0.0,11.0,126,1,9.5,0.16666666666666666
18,2,0.8,0.5,60,2,9.25,0.26282051282051283,9.75,117,0,7.0,0.0
18,4,0.5,0.7,97,3,7.0,0.5277777777777778,7.0,158,0,5.75,0.0
18,8,0.6,0.6,113,3,6.0,0.40028490028490027,8.25,172,0,6.0,0.0
19,1,0.7,0.8,57,0,9.0,0.0,10.75,165,1,10.75,0.29042904290429045
19,2,0.9,0.6,68,0,8.5,0.0,12.5,169,1,7.75,0.10736196319018405
19,4,0.3,0.8,103,3,6.75,0.4124194493263035,7.25,220,0,5.75,0.0
19,8,0.5,0.6,152,2,5.25,0.3163444639718805,8.5,250,0,6.0,0.0
20,1,0.8,0.7,66,0,10.25,0.0,12.0,147,1,9.75,0.12149532710280374
20,2,0.9,0.6,76,2,9.25,0.21049692908989392,10.0,163,0,6.75,0.0
20,4,0.4,0.7,136,3,7.25,0.5817978782802904,6.0,204,0,5.25,0.0
20,8,0.5,0.6,161,3,6.0,0.4768285873813512,7.25,237,0,6.0,0.0
21,1,0.7,0.8,65,0,9.75,0.0,11.0,172,1,10.5,0.24778761061946902
