level,monster_count,blue_hit_probability,red_hit_probability,blue_damage_per_round,blue_living_count,blue_rounds_to_live,blue_survival_percent,rounds,red_damage_per_round,red_living_count,red_rounds_to_live,red_survival_percent
1,1,0.7,0.5,19,3,6.5,0.4778761061946903,4.25,13,0,4.0,0.0
1,2,0.7,0.8,19,3,4.25,0.46017699115044247,4.0,20,0,3.75,0.0
1,4,0.7,0.7,24,3,4.5,0.49557522123893805,4.5,21,0,3.75,0.0
1,8,0.7,0.7,24,0,2.25,0.0,3.75,42,6,7.5,0.6590909090909091
2,1,0.7,0.5,23,3,6.0,0.49612403100775193,4.25,15,0,4.0,0.0
2,2,0.7,0.7,23,3,5.25,0.5891472868217055,3.75,18,0,3.5,0.0
2,4,0.7,0.7,31,3,4.5,0.5891472868217055,4.25,21,0,3.5,0.0
2,8,0.4,0.6,37,0,2.75,0.0,5.0,36,4,5.0,0.4375
3,1,0.7,0.5,24,3,6.75,0.5100671140939598,4.5,16,0,4.25,0.0
3,2,0.6,0.4,21,3,5.0,0.48322147651006714,4.5,22,0,4.0,0.0
3,4,0.7,0.5,34,3,4.5,0.5436241610738255,4.5,24,0,3.75,0.0
3,8,0.4,0.6,41,0,3.25,0.0,6.75,36,3,4.5,0.2556818181818182
4,1,0.6,0.5,33,3,6.75,0.6384180790960452,3.75,18,0,3.5,0.0
4,2,0.6,0.4,33,3,5.5,0.6610169491525424,3.5,22,0,3.25,0.0
4,4,0.4,0.5,46,3,4.75,0.6949152542372882,3.25,27,0,3.0,0.0
4,8,0.6,0.4,61,3,4.75,0.6497175141242938,4.0,26,0,3.0,0.0
5,1,0.5,0.5,27,3,7.75,0.5609756097560976,5.0,18,0,4.75,0.0
5,2,0.5,0.5,27,3,5.25,0.45365853658536587,5.0,30,0,4.5,0.0
5,4,0.7,0.5,39,3,5.25,0.6731707317073171,4.25,27,0,4.0,0.0
5,8,0.5,0.5,54,3,4.5,0.6292682926829268,4.75,31,0,4.0,0.0
6,1,0.5,0.5,29,3,8.0,0.5299145299145299,5.25,20,0,5.0,0.0
6,2,0.6,0.4,36,3,6.0,0.6239316239316239,4.25,27,0,3.75,0.0
6,4,0.7,0.5,42,3,5.5,0.6153846153846154,4.75,30,0,4.25,0.0
6,8,0.6,0.4,66,3,5.25,0.6495726495726496,4.75,30,0,3.75,0.0
7,1,0.4,0.5,35,3,7.75,0.501577287066246,5.5,26,0,5.0,0.0
7,2,0.4,0.6,35,3,6.75,0.5646687697160884,4.75,38,0,4.25,0.0
7,4,0.6,0.6,50,3,5.5,0.5867507886435331,5.25,38,0,4.25,0.0
7,8,0.6,0.4,66,3,4.75,0.5047318611987381,6.0,45,0,4.25,0.0
8,1,0.3,0.5,32,2,8.5,0.36764705882352944,7.0,26,0,6.25,0.0
8,2,0.4,0.5,39,3,7.75,0.6823529411764706,4.5,32,0,4.25,0.0
8,4,0.6,0.6,56,3,5.25,0.5882352941176471,5.25,41,0,4.5,0.0
8,8,0.8,0.5,74,3,6.0,0.6205882352941177,6.0,36,0,4.25,0.0
9,1,0.3,0.5,33,2,9.25,0.35877862595419846,7.5,29,0,6.75,0.0
9,2,0.3,0.6,33,2,7.25,0.5165394402035624,6.0,44,0,5.25,0.0
9,4,0.6,0.5,58,3,6.0,0.5903307888040712,5.5,45,0,4.75,0.0
9,8,0.7,0.6,67,3,5.5,0.5165394402035624,7.0,45,0,5.25,0.0
10,1,0.4,0.5,46,3,8.75,0.4809843400447427,6.0,37,0,5.5,0.0
10,2,0.5,0.6,55,3,7.5,0.7225950782997763,4.0,44,0,4.0,0.0
10,4,0.7,0.4,77,3,6.0,0.6957494407158836,4.25,54,0,4.0,0.0
10,8,0.7,0.5,98,3,5.5,0.5480984340044742,6.0,55,0,4.5,0.0
11,1,0.3,0.5,39,2,9.5,0.22406639004149378,8.25,37,0,7.0,0.0
11,2,0.4,0.7,48,3,7.25,0.5477178423236515,5.5,50,0,5.0,0.0
11,4,0.6,0.4,69,3,6.25,0.6369294605809128,5.25,54,0,4.75,0.0
11,8,0.8,0.6,92,2,4.5,0.3796680497925311,7.25,70,0,5.25,0.0
12,1,0.3,0.5,40,2,9.75,0.20754716981132076,8.75,39,0,7.5,0.0
12,2,0.5,0.6,60,3,8.25,0.6943396226415094,4.75,47,0,4.5,0.0
12,4,0.6,0.5,71,3,6.0,0.5830188679245283,5.5,64,0,5.0,0.0
12,8,0.7,0.5,106,3,5.5,0.5056603773584906,7.0,65,0,5.25,0.0
13,1,0.8,0.5,54,3,10.5,0.49117647058823527,7.25,45,0,6.75,0.0
13,2,0.9,0.7,62,3,8.0,0.5852941176470589,5.5,68,0,5.0,0.0
13,4,0.5,0.5,84,3,6.5,0.5852941176470589,6.0,75,0,5.25,0.0
13,8,0.7,0.6,112,2,5.0,0.4455882352941177,7.25,88,0,5.25,0.0
14,1,0.8,0.5,53,2,11.25,0.27945205479452057,9.25,45,0,7.75,0.0
14,2,0.4,0.6,68,3,9.25,0.6835616438356165,5.25,59,0,5.0,0.0
14,4,0.6,0.5,95,3,7.0,0.5657534246575342,6.5,75,0,5.25,0.0
14,8,0.8,0.6,124,3,6.25,0.5986301369863014,6.75,76,0,5.25,0.0
15,1,0.8,0.5,59,2,11.25,0.2961165048543689,9.25,53,0,7.75,0.0
15,2,0.3,0.7,66,3,9.0,0.6031553398058253,6.0,71,0,5.5,0.0
15,4,0.6,0.5,107,3,7.25,0.5995145631067961,6.5,81,0,5.25,0.0
15,8,0.7,0.4,122,2,5.25,0.3919902912621359,8.0,106,0,6.0,0.0
16,1,0.9,0.5,68,2,11.0,0.3624733475479744,8.5,60,0,7.5,0.0
16,2,0.5,0.7,97,3,8.5,0.652452025586354,4.75,93,0,4.5,0.0
16,4,0.7,0.5,130,3,6.75,0.650319829424307,5.25,102,0,4.75,0.0
16,8,0.9,0.9,167,3,6.0,0.5149253731343284,7.0,121,0,5.25,0.0
17,1,0.8,0.5,65,2,11.75,0.2809099901088032,10.0,60,0,8.5,0.0
17,2,0.4,0.8,85,3,8.5,0.5054401582591493,6.5,105,0,5.75,0.0
17,4,0.6,0.5,118,3,7.25,0.579624134520277,6.5,102,0,5.75,0.0
17,8,0.8,1.0,152,2,5.5,0.20969337289812068,9.5,128,0,6.5,0.0
18,1,0.8,0.5,66,1,12.0,0.20564149226569609,11.25,64,0,9.0,0.0
18,2,0.5,0.7,104,3,9.0,0.5814376706096451,6.0,105,0,5.25,0.0
18,4,0.6,0.6,121,3,7.25,0.5905368516833485,6.75,107,0,6.0,0.0
